id,host_neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
14773204,Mission District,Mission,37.76667538,-122.4170325,Apartment,Private room,2,2,1,1,$105.00 ,,,,,1,$25.00 ,2,1125,94,10,10,10,10,9,9
5470034,Mission District,Mission,37.76054446,-122.421676,Apartment,Private room,2,1,1,1,$59.00 ,,,$100.00 ,$10.00 ,1,$5.00 ,2,20,83,9,9,9,9,9,8
1814061,Noe Valley,Mission,37.75110161,-122.4241432,Apartment,Entire home/apt,2,1,1,1,$150.00 ,"$1,000.00 ","$4,250.00 ",$500.00 ,$100.00 ,1,$0.00 ,30,364,100,10,10,10,10,10,10
2046807,Mission District,Mission,37.76045876,-122.4190438,House,Entire home/apt,2,1,0,1,$149.00 ,,,,$50.00 ,1,$20.00 ,5,102,89,9,9,10,10,9,9
486950,Mission District,Mission,37.75311615,-122.4086315,Apartment,Private room,1,1,1,1,$100.00 ,$700.00 ,"$3,000.00 ",,$150.00 ,1,$0.00 ,4,28,,,,,,,
592883,Mission District,Mission,37.75731078,-122.4095373,House,Private room,2,1,1,1,$75.00 ,$700.00 ,"$1,932.00 ","$2,400.00 ",$85.00 ,2,$35.00 ,1,180,95,10,10,10,10,9,9
9350676,Mission District,Mission,37.75174324,-122.4162526,Apartment,Entire home/apt,2,1,1,1,$299.00 ,,,,$190.00 ,1,$25.00 ,3,1125,,,,,,,
1093088,Mission District,Mission,37.76777714,-122.4243382,Apartment,Private room,1,1,1,1,$68.00 ,$460.00 ,"$1,700.00 ",,$12.00 ,1,$0.00 ,4,30,96,10,10,10,10,10,10
13725185,Mission District,Mission,37.76121341,-122.4086907,Apartment,Entire home/apt,2,1,1,1,$99.00 ,,,"$1,000.00 ",$50.00 ,2,$10.00 ,2,7,,,,,,,
2502127,Mission District,Mission,37.75297177,-122.4128058,House,Entire home/apt,4,1,2,2,$211.00 ,"$1,500.00 ","$6,000.00 ",,$90.00 ,2,$35.00 ,2,29,94,10,9,10,10,9,9
16231927,Mission District,Mission,37.75833813,-122.4229128,Apartment,Entire home/apt,2,1,1,1,$125.00 ,,,,,1,$0.00 ,2,1125,100,10,10,10,10,10,9
2043364,,Mission,37.76040329,-122.415501,Apartment,Entire home/apt,2,1,1,1,$85.00 ,,,$300.00 ,$75.00 ,1,$0.00 ,10,18,93,9,9,10,10,9,9
2010572,Mission District,Mission,37.75753955,-122.4106128,Apartment,Private room,3,1,1,1,$97.00 ,,,,$25.00 ,1,$30.00 ,3,45,92,9,9,9,9,9,9
